id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
13653,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13654,Women Tshirts,5,black,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13655,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13656,Women Tshirts,5,black,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13657,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13658,Women Tshirts,5,default,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13659,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13660,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13661,Women Tshirts,5,default,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13662,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13663,Women Tshirts,5,white,loose,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13664,Women Tshirts,5,white,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13665,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13666,Women Tshirts,5,white,regular,long,printed,typography,default,regular sleeves,default,dummy,dummy
13667,Women Tshirts,5,black,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13668,Women Tshirts,5,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13669,Women Tshirts,5,yellow,regular,crop,printed,solid,long sleeves,cuffed sleeves,default,dummy,dummy
13670,Women Tshirts,5,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,dummy,dummy
13671,Women Tshirts,5,yellow,regular,crop,printed,funky print,short sleeves,regular sleeves,applique,dummy,dummy
13672,Women Tshirts,5,white,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13673,Women Tshirts,5,white,loose,long,printed,typography,default,regular sleeves,default,dummy,dummy
13674,Women Tshirts,5,pink,regular,long,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13675,Women Tshirts,5,yellow,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13676,Women Tshirts,5,yellow,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13677,Women Tshirts,5,white,loose,long,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13678,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13679,Women Tshirts,5,pink,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13680,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13681,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13682,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13683,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13684,Women Tshirts,5,black,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13685,Women Tshirts,5,default,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13686,Women Tshirts,5,white,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13687,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13688,Women Tshirts,5,pink,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13689,Women Tshirts,5,default,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13690,Women Tshirts,5,default,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13691,Women Tshirts,5,white,regular,crop,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13692,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13693,Women Tshirts,5,black,regular,regular,printed,funky print,long sleeves,regular sleeves,default,dummy,dummy
13694,Women Tshirts,5,white,regular,crop,printed,funky print,long sleeves,regular sleeves,default,dummy,dummy
13695,Women Tshirts,5,white,regular,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13696,Women Tshirts,5,yellow,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13697,Women Tshirts,5,black,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13698,Women Tshirts,5,white,loose,long,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13699,Women Tshirts,5,maroon,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13700,Women Tshirts,5,white,loose,long,printed,typography,default,regular sleeves,default,dummy,dummy
13701,Women Tshirts,5,white,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13702,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13703,Women Tshirts,5,default,regular,regular,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13704,Women Tshirts,5,black,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13705,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13706,Women Tshirts,5,yellow,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13707,Women Tshirts,5,white,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13708,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13709,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13710,Women Tshirts,5,yellow,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13711,Women Tshirts,5,white,regular,crop,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13712,Women Tshirts,5,white,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13713,Women Tshirts,5,white,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13714,Women Tshirts,5,black,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13715,Women Tshirts,5,yellow,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13716,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13717,Women Tshirts,5,default,regular,regular,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13718,Women Tshirts,5,yellow,regular,crop,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13719,Women Tshirts,5,default,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13720,Women Tshirts,5,white,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13721,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13722,Women Tshirts,5,default,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13723,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13724,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13725,Women Tshirts,5,pink,regular,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13726,Women Tshirts,5,pink,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13727,Women Tshirts,5,pink,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13728,Women Tshirts,5,black,boxy,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13729,Women Tshirts,5,pink,regular,crop,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13730,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13731,Women Tshirts,5,black,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13732,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13733,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13734,Women Tshirts,5,multicolor,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13735,Women Tshirts,5,yellow,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13736,Women Tshirts,5,white,regular,crop,printed,typography,long sleeves,regular sleeves,default,dummy,dummy
13737,Women Tshirts,5,yellow,loose,regular,solid,default,short sleeves,regular sleeves,default,dummy,dummy
13738,Women Tshirts,5,white,regular,regular,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13739,Women Tshirts,5,yellow,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13740,Women Tshirts,5,white,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13741,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13742,Women Tshirts,5,default,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13743,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13744,Women Tshirts,5,default,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13745,Women Tshirts,5,black,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13746,Women Tshirts,5,black,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13747,Women Tshirts,5,multicolor,loose,long,default,default,short sleeves,regular sleeves,default,dummy,dummy
13748,Women Tshirts,5,default,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13749,Women Tshirts,5,default,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13750,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13751,Women Tshirts,5,black,regular,crop,printed,quirky,long sleeves,cuffed sleeves,default,dummy,dummy
13752,Women Tshirts,5,black,regular,regular,printed,typography,long sleeves,regular sleeves,default,dummy,dummy
13753,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13754,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13755,Women Tshirts,5,yellow,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13756,Women Tshirts,5,white,loose,long,printed,typography,default,regular sleeves,default,dummy,dummy
13757,Women Tshirts,5,white,regular,long,printed,funky print,default,regular sleeves,default,dummy,dummy
13758,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13759,Women Tshirts,5,white,loose,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13760,Women Tshirts,5,white,boxy,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13761,Women Tshirts,5,pink,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13762,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13763,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13764,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13765,Women Tshirts,5,pink,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13766,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13767,Women Tshirts,5,black,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13768,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13769,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13770,Women Tshirts,5,default,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13771,Women Tshirts,5,default,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13772,Women Tshirts,5,black,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13773,Women Tshirts,5,pink,loose,long,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13774,Women Tshirts,5,white,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13775,Women Tshirts,5,yellow,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13776,Women Tshirts,5,pink,loose,long,printed,funky print,short sleeves,regular sleeves,applique,dummy,dummy
13777,Women Tshirts,5,pink,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13778,Women Tshirts,5,default,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13779,Women Tshirts,5,yellow,regular,regular,printed,funky print,default,regular sleeves,default,dummy,dummy
13780,Women Tshirts,5,black,loose,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13781,Women Tshirts,5,white,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13782,Women Tshirts,5,yellow,regular,regular,printed,typography,long sleeves,regular sleeves,default,dummy,dummy
13783,Women Tshirts,5,pink,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13784,Women Tshirts,5,black,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13785,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13786,Women Tshirts,5,black,regular,crop,printed,quirky,long sleeves,cuffed sleeves,default,dummy,dummy
13787,Women Tshirts,5,white,regular,long,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13788,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13789,Women Tshirts,5,white,loose,long,printed,graphic,default,regular sleeves,default,dummy,dummy
13790,Women Tshirts,5,pink,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13791,Women Tshirts,5,white,boxy,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13792,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13793,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13794,Women Tshirts,5,black,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13795,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13796,Women Tshirts,5,black,boxy,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13797,Women Tshirts,5,white,loose,long,printed,quirky,default,regular sleeves,default,dummy,dummy
13798,Women Tshirts,5,default,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13799,Women Tshirts,5,white,loose,long,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13800,Women Tshirts,5,default,regular,crop,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13801,Women Tshirts,5,black,boxy,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13802,Women Tshirts,5,pink,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13803,Women Tshirts,5,white,regular,regular,printed,graphic,long sleeves,regular sleeves,default,dummy,dummy
13804,Women Tshirts,5,white,regular,regular,printed,funky print,long sleeves,regular sleeves,default,dummy,dummy
13805,Women Tshirts,5,maroon,regular,crop,printed,solid,long sleeves,cuffed sleeves,default,dummy,dummy
13806,Women Tshirts,5,white,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13807,Women Tshirts,5,default,regular,crop,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13808,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13809,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13810,Women Tshirts,5,default,loose,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13811,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13812,Women Tshirts,5,white,regular,regular,printed,funky print,default,regular sleeves,default,dummy,dummy
13813,Women Tshirts,5,black,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13814,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13815,Women Tshirts,5,default,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13816,Women Tshirts,5,black,regular,crop,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13817,Women Tshirts,5,multicolor,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13818,Women Tshirts,5,yellow,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13819,Women Tshirts,5,pink,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13820,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13821,Women Tshirts,5,yellow,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13822,Women Tshirts,5,default,regular,crop,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13823,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13824,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13825,Women Tshirts,5,white,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13826,Women Tshirts,5,default,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13827,Women Tshirts,5,yellow,regular,crop,printed,graphic,long sleeves,cuffed sleeves,default,dummy,dummy
13828,Women Tshirts,5,yellow,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13829,Women Tshirts,5,default,regular,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13830,Women Tshirts,5,multicolor,regular,crop,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13831,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13832,Women Tshirts,5,pink,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13833,Women Tshirts,5,default,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13834,Women Tshirts,5,white,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13835,Women Tshirts,5,black,regular,crop,printed,quirky,default,regular sleeves,default,dummy,dummy
13836,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13837,Women Tshirts,5,default,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13838,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13839,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13840,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13841,Women Tshirts,5,default,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13842,Women Tshirts,5,black,regular,crop,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13843,Women Tshirts,5,maroon,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13844,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13845,Women Tshirts,5,yellow,regular,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13846,Women Tshirts,5,pink,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13847,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13848,Women Tshirts,5,yellow,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13849,Women Tshirts,5,black,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13850,Women Tshirts,5,white,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13851,Women Tshirts,5,yellow,regular,regular,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13852,Women Tshirts,5,maroon,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13853,Women Tshirts,5,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,dummy,dummy
13854,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13855,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13856,Women Tshirts,5,white,boxy,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13857,Women Tshirts,5,black,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13858,Women Tshirts,5,black,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13859,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13860,Women Tshirts,5,white,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13861,Women Tshirts,5,white,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13862,Women Tshirts,5,pink,loose,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13863,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13864,Women Tshirts,5,maroon,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13865,Women Tshirts,5,white,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13866,Women Tshirts,5,white,loose,long,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13867,Women Tshirts,5,default,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13868,Women Tshirts,5,black,regular,long,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13869,Women Tshirts,5,white,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13870,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13871,Women Tshirts,5,white,regular,regular,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13872,Women Tshirts,5,yellow,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13873,Women Tshirts,5,pink,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13874,Women Tshirts,5,white,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,default,dummy,dummy
13875,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13876,Women Tshirts,5,default,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13877,Women Tshirts,5,black,regular,crop,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13878,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13879,Women Tshirts,5,default,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13880,Women Tshirts,5,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,dummy,dummy
13881,Women Tshirts,5,yellow,regular,crop,printed,typography,default,regular sleeves,default,dummy,dummy
13882,Women Tshirts,5,yellow,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13883,Women Tshirts,5,default,regular,regular,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13884,Women Tshirts,5,white,loose,long,printed,typography,default,regular sleeves,default,dummy,dummy
13885,Women Tshirts,5,black,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13886,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13887,Women Tshirts,5,default,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
